Clapeyron Database File,,,,,
MathiasCopemanAlpha like Parameters,,,,,
species,c1,c2,c3
diisopropyl ether,0.91199,0.82949,-2.19890
toluene,0.94689,-0.58961,1.21320
hexane,0.93264,0,0
heptane,1.00313,0,0
acetic acid,1.38764,-1.58619,1.84943
octanoic acid,1.60513,-0.21195,1.15479
lauric acid,2.31699,-0.03953,-6.59612
peracetic acid,1.88407,-2.36351,2.46947
peroctanoic acid,1.81245,-0.06092,1.71043
perlauric acid,2.09750,-0.12723,1.91912
water,1.07830,-0.58321,0.54619
hydrogen peroxide,1.06615,-0.39235,0.27125
limonene,1.11438,-0.62643,1.06066
